timestamp,open,high,low,close,volume
2022-05-07 07:00:00,35806.28,35806.28,35805.8,35805.8,3.6832
2022-05-07 07:01:00,35805.8,35819.77,35805.8,35819.76,10.1444
2022-05-07 07:02:00,35819.76,35828.31,35819.76,35828.31,15.68592
2022-05-07 07:03:00,35828.3,35832.12,35816.0,35816.01,8.25133
2022-05-07 07:04:00,35816.0,35818.13,35812.15,35812.25,11.93148
2022-05-07 07:05:00,35812.26,35816.11,35812.25,35816.11,3.76054
2022-05-07 07:06:00,35816.11,35816.11,35808.54,35808.55,9.5887
2022-05-07 07:07:00,35808.55,35820.0,35808.54,35819.99,6.22081
2022-05-07 07:08:00,35820.0,35820.0,35812.8,35812.8,6.55258
2022-05-07 07:09:00,35812.81,35812.81,35802.67,35802.68,6.77028
2022-05-07 07:10:00,35802.68,35811.66,35800.0,35800.01,325.71538
2022-05-07 07:11:00,35800.0,35813.86,35800.0,35813.85,120.92905
2022-05-07 07:12:00,35813.85,35813.86,35813.85,35813.86,1.03686
2022-05-07 07:13:00,35813.85,35813.86,35810.05,35810.05,7.75674
2022-05-07 07:14:00,35810.06,35810.06,35804.38,35810.01,5.87953
2022-05-07 07:15:00,35810.01,35834.4,35810.0,35834.4,37.02564
2022-05-07 07:16:00,35834.39,35859.74,35834.39,35849.41,24.65448
2022-05-07 07:17:00,35849.41,35866.48,35846.78,35866.47,31.13018
2022-05-07 07:18:00,35866.47,35866.48,35858.69,35858.69,8.15559
2022-05-07 07:19:00,35858.69,35867.81,35853.15,35867.8,12.36853
2022-05-07 07:20:00,35867.8,35870.0,35866.51,35866.52,7.0277
2022-05-07 07:21:00,35866.52,35866.52,35848.25,35855.26,9.32652
2022-05-07 07:22:00,35855.27,35869.96,35855.26,35869.96,5.136
2022-05-07 07:23:00,35869.96,35869.96,35864.59,35867.66,10.93504
2022-05-07 07:24:00,35867.65,35867.66,35851.05,35851.05,12.00516
2022-05-07 07:25:00,35851.06,35851.06,35850.01,35851.05,5.12298
2022-05-07 07:26:00,35851.05,35851.06,35844.14,35844.16,2.3941
2022-05-07 07:27:00,35844.15,35865.31,35844.15,35865.31,16.69455
2022-05-07 07:28:00,35865.31,35865.31,35834.39,35850.92,55.03446
2022-05-07 07:29:00,35850.92,35850.93,35835.31,35835.31,9.00425
2022-05-07 07:30:00,35835.32,35838.46,35826.36,35838.46,10.25025
2022-05-07 07:31:00,35838.45,35850.0,35838.45,35849.99,6.13418
2022-05-07 07:32:00,35850.0,35850.0,35846.27,35846.28,6.90606
2022-05-07 07:33:00,35846.28,35864.61,35846.27,35864.6,56.00764
2022-05-07 07:34:00,35864.6,35888.2,35859.99,35874.78,37.89521
2022-05-07 07:35:00,35874.78,35894.75,35874.77,35889.51,22.27906
2022-05-07 07:36:00,35889.51,35912.0,35886.13,35899.99,52.49007
2022-05-07 07:37:00,35899.99,35910.03,35890.34,35899.27,26.80768
2022-05-07 07:38:00,35899.27,35908.19,35899.26,35902.74,11.40665
2022-05-07 07:39:00,35902.75,35911.58,35900.04,35901.84,13.00979
2022-05-07 07:40:00,35901.83,35908.13,35901.83,35908.13,5.00693
2022-05-07 07:41:00,35908.13,35912.01,35895.83,35895.84,13.10741
2022-05-07 07:42:00,35895.83,35905.95,35880.47,35904.89,40.26416
2022-05-07 07:43:00,35904.89,35915.2,35904.88,35915.19,7.67396
2022-05-07 07:44:00,35915.19,35934.62,35913.74,35934.62,31.88885
2022-05-07 07:45:00,35934.61,35947.37,35913.01,35913.01,30.45967
2022-05-07 07:46:00,35913.02,35922.48,35906.53,35922.47,17.75398
2022-05-07 07:47:00,35922.47,35922.48,35914.5,35914.51,24.45776
2022-05-07 07:48:00,35914.5,35920.0,35913.03,35920.0,5.67886
2022-05-07 07:49:00,35920.0,35923.5,35913.03,35913.04,12.09676
2022-05-07 07:50:00,35913.04,35922.47,35913.03,35922.46,24.31114
2022-05-07 07:51:00,35922.46,35950.19,35922.46,35940.01,72.30249
2022-05-07 07:52:00,35940.01,35956.51,35940.0,35956.51,44.73844
2022-05-07 07:53:00,35956.51,35956.51,35951.68,35951.69,25.64193
2022-05-07 07:54:00,35951.69,35951.69,35932.66,35932.67,13.04907
2022-05-07 07:55:00,35932.66,35961.05,35932.66,35935.44,41.79252
2022-05-07 07:56:00,35935.45,35939.94,35935.44,35938.14,19.8375
2022-05-07 07:57:00,35938.14,35939.92,35938.0,35938.0,6.9645
2022-05-07 07:58:00,35938.01,35938.01,35921.39,35921.39,5.15228
